unit,cases,deaths
Barishal,8467,13
Chattogram,8672,16
Dhaka (Out of CC),9997,10
DNCC,6980,23
DSCC,7317,53
Khulna,9903,32
Mymensingh,3366,18
Rajshahi,3638,8
Rangpur,1762,4
Sylhet,277,1
